Start Time  Tuesday March 01 2022 16:51:41,,,,,,,
USB-to-CAN V2 compact  CAN-1,130,95.165,      ,605,8,2F 02 16 00 00 00 00 00,/.......
USB-to-CAN V2 compact  CAN-1,131,95.165,      ,585,8,60 02 16 00 00 00 00 00,`.......
USB-to-CAN V2 compact  CAN-1,132,95.176,      ,605,8,23 02 16 01 20 01 FE 60,#... ..`
USB-to-CAN V2 compact  CAN-1,133,95.177,      ,585,8,60 02 16 01 00 00 00 00,`.......
USB-to-CAN V2 compact  CAN-1,134,95.187,      ,605,8,23 02 16 02 20 02 FE 60,#... ..`
USB-to-CAN V2 compact  CAN-1,135,95.188,      ,585,8,60 02 16 02 00 00 00 00,`.......
USB-to-CAN V2 compact  CAN-1,136,95.198,      ,605,8,2F 02 16 00 02 00 00 00,/.......
USB-to-CAN V2 compact  CAN-1,137,95.199,      ,585,8,60 02 16 00 00 00 00 00,`.......
USB-to-CAN V2 compact  CAN-1,138,95.209,      ,605,8,23 02 14 01 05 04 00 00,#.......
USB-to-CAN V2 compact  CAN-1,139,95.21,      ,585,8,60 02 14 01 00 00 00 00,`.......
USB-to-CAN V2 compact  CAN-1,140,95.22,      ,605,8,40 40 60 00 00 00 00 00,@@`.....
USB-to-CAN V2 compact  CAN-1,141,95.221,      ,585,8,4B 40 60 00 00 00 00 00,K@`.....
USB-to-CAN V2 compact  CAN-1,142,95.231,      ,605,8,40 41 60 00 00 00 00 00,@A`.....
USB-to-CAN V2 compact  CAN-1,143,95.232,      ,585,8,4B 41 60 00 50 02 00 00,KA`.P...
USB-to-CAN V2 compact  CAN-1,144,95.242,      ,605,8,23 16 10 01 F4 01 03 00,#.......
USB-to-CAN V2 compact  CAN-1,145,95.243,      ,585,8,60 16 10 01 00 00 00 00,`.......
USB-to-CAN V2 compact  CAN-1,147,95.253,      ,605,8,2B 17 10 00 C8 00 00 00,+.......
USB-to-CAN V2 compact  CAN-1,148,95.254,      ,185,6,50 02 00 00 00 00,P.....
USB-to-CAN V2 compact  CAN-1,149,95.254,      ,585,8,60 17 10 00 00 00 00 00,`.......
USB-to-CAN V2 compact  CAN-1,154,95.666,      ,605,8,2B 17 10 00 00 00 00 00,+.......
USB-to-CAN V2 compact  CAN-1,155,95.666,      ,585,8,60 17 10 00 00 00 00 00,`.......
USB-to-CAN V2 compact  CAN-1,156,95.675,      ,605,8,2B 17 10 00 E8 03 00 00,+.......
USB-to-CAN V2 compact  CAN-1,157,95.676,      ,585,8,60 17 10 00 00 00 00 00,`.......
USB-to-CAN V2 compact  CAN-1,162,96.688,      ,605,8,23 81 60 00 99 59 0D 00,#.`..Y..
USB-to-CAN V2 compact  CAN-1,163,96.688,      ,585,8,60 81 60 00 00 00 00 00,`.`.....
USB-to-CAN V2 compact  CAN-1,164,96.691,      ,605,8,23 83 60 00 6A 03 00 00,#.`.j...
USB-to-CAN V2 compact  CAN-1,165,96.692,      ,585,8,60 83 60 00 00 00 00 00,`.`.....
USB-to-CAN V2 compact  CAN-1,166,96.702,      ,605,8,23 67 60 00 FF FF FF FF,#g`.....
USB-to-CAN V2 compact  CAN-1,167,96.703,      ,585,8,60 67 60 00 00 00 00 00,`g`.....
USB-to-CAN V2 compact  CAN-1,169,96.713,      ,605,8,2B 68 60 00 E8 03 00 00,+h`.....
USB-to-CAN V2 compact  CAN-1,170,96.714,      ,585,8,60 68 60 00 00 00 00 00,`h`.....
USB-to-CAN V2 compact  CAN-1,171,96.724,      ,605,8,2B 5D 60 00 02 00 00 00,+]`.....
USB-to-CAN V2 compact  CAN-1,172,96.725,      ,585,8,60 5D 60 00 00 00 00 00,`]`.....
USB-to-CAN V2 compact  CAN-1,173,96.736,      ,605,8,23 85 60 00 D5 06 00 00,#.`.....
USB-to-CAN V2 compact  CAN-1,174,96.736,      ,585,8,60 85 60 00 00 00 00 00,`.`.....
USB-to-CAN V2 compact  CAN-1,175,96.746,      ,605,8,2B 07 60 00 01 00 00 00,+.`.....
USB-to-CAN V2 compact  CAN-1,176,96.747,      ,585,8,60 07 60 00 00 00 00 00,`.`.....
USB-to-CAN V2 compact  CAN-1,177,96.76,      ,605,8,2B 5E 60 00 00 00 00 00,+^`.....
USB-to-CAN V2 compact  CAN-1,178,96.76,      ,585,8,60 5E 60 00 00 00 00 00,`^`.....
USB-to-CAN V2 compact  CAN-1,179,96.771,      ,605,8,23 64 20 00 84 00 01 02,#d .....
USB-to-CAN V2 compact  CAN-1,180,96.772,      ,585,8,60 64 20 00 00 00 00 00,`d .....
USB-to-CAN V2 compact  CAN-1,181,96.782,      ,605,8,40 66 20 00 00 00 00 00,@f .....
